Epoch [16/80], Discriminator 0.0175, Generator 8.6573
Step [0] Epoch [17/80], Discriminator 0.0782, Generator 8.3604
Step [1] Epoch [17/80], Discriminator 0.0714, Generator 5.8259
Step [2] Epoch [17/80], Discriminator 0.1563, Generator 7.6012
Step [3] Epoch [17/80], Discriminator 0.0115, Generator 3.7352
Step [4] Epoch [17/80], Discriminator 0.0319, Generator 8.3169
Step [5] Epoch [17/80], Discriminator 0.1918, Generator 9.3633
Step [6] Epoch [17/80], Discriminator 0.0251, Generator 11.6812
Step [7] Epoch [17/80], Discriminator 0.1653, Generator 6.7388
Step [8] Epoch [17/80], Discriminator 0.0904, Generator 8.1267
Step [9] Epoch [17/80], Discriminator 0.0443, Generator 7.9184
Step [10] Epoch [17/80], Discriminator 0.1656, Generator 5.4264
Step [11] Epoch [17/80], Discriminator 0.0875, Generator 9.8777
Step [12] Epoch [17/80], Discriminator 0.1064, Generator 7.9880
Epoch [17/80], Discriminator 0.0880, Generator 8.3113
Step [0] Epoch [18/80], Discriminator 0.0154, Generator 8.6243
Step [1] Epoch [18/80], Discriminator 0.0246, Generator 6.4028
Step [2] Epoch [18/80], Discriminator 0.0679, Generator 7.9149
Step [3] Epoch [18/80], Discriminator 0.0791, Generator 7.1784
Step [4] Epoch [18/80], Discriminator 0.0924, Generator 6.8596
Step [5] Epoch [18/80], Discriminator 0.0161, Generator 5.2836
Step [6] Epoch [18/80], Discriminator 0.0166, Generator 6.8613
Step [7] Epoch [18/80], Discriminator 0.2062, Generator 7.4228
Step [8] Epoch [18/80], Discriminator 0.0530, Generator 5.8489
Step [9] Epoch [18/80], Discriminator 0.0749, Generator 5.6116
Step [10] Epoch [18/80], Discriminator 0.0619, Generator 9.1010
Step [11] Epoch [18/80], Discriminator 0.0337, Generator 7.7223
Step [12] Epoch [18/80], Discriminator 0.0502, Generator 8.5488
Epoch [18/80], Discriminator 0.1096, Generator 7.6659
Step [0] Epoch [19/80], Discriminator 0.0330, Generator 9.6308
Step [1] Epoch [19/80], Discriminator 0.0929, Generator 7.3329
Step [2] Epoch [19/80], Discriminator 0.0577, Generator 6.0689
Step [3] Epoch [19/80], Discriminator 0.0367, Generator 6.1351
Step [4] Epoch [19/80], Discriminator 3.0837, Generator 17.3875
Step [5] Epoch [19/80], Discriminator 0.1037, Generator 6.6445
Step [6] Epoch [19/80], Discriminator 0.2286, Generator 6.3774
Step [7] Epoch [19/80], Discriminator 0.0606, Generator 9.2865
Step [8] Epoch [19/80], Discriminator 0.1368, Generator 8.1768
